id,clave,descripcion
catalogos_clave_prod_stcc341,33111,Arrabio
catalogos_clave_prod_stcc342,33112,Escoria de horno
catalogos_clave_prod_stcc343,33119,Horno de coque y blast furn prd
catalogos_clave_prod_stcc344,3312,Prd de hierro y acero primario
catalogos_clave_prod_stcc345,33121,Lingote de acero y semiacabado
catalogos_clave_prod_stcc346,3313,Prd electrometalúrgico
catalogos_clave_prod_stcc347,3315,"Alambre de acero, clavos y púas"
catalogos_clave_prod_stcc348,332,Fundiciones de hierro y acero
catalogos_clave_prod_stcc349,33211,Tubo de fundición de hierro y acero
catalogos_clave_prod_stcc350,333,Productos de fundición no ferrosos
catalogos_clave_prod_stcc351,3331,"Cobre, latón o bronce"
catalogos_clave_prod_stcc352,3332,Productos de fundición de plomo
catalogos_clave_prod_stcc353,3333,Productos de fundición de zinc
catalogos_clave_prod_stcc354,3334,Productos de fundición de aluminio
catalogos_clave_prod_stcc355,335,Formas básicas de metales no ferrosos
catalogos_clave_prod_stcc356,3351,"Cobre, latón o bronce"
catalogos_clave_prod_stcc357,3352,Aluminio
catalogos_clave_prod_stcc358,3357,Metal no ferroso y aislado
catalogos_clave_prod_stcc359,336,Piezas fundidas no ferrosas
catalogos_clave_prod_stcc360,3361,Aleación a base de aluminio y alumbre
catalogos_clave_prod_stcc361,3362,"Latón, bronce, cobre y cba"
catalogos_clave_prod_stcc362,339,Productos varios de metales primarios
catalogos_clave_prod_stcc363,3391,Forjas de hierro y acero
catalogos_clave_prod_stcc364,3392,Forjas de metales no ferrosos
catalogos_clave_prod_stcc365,34,Productos de metal fabricados
catalogos_clave_prod_stcc366,341,Latas de metal
catalogos_clave_prod_stcc367,342,"Cubiertos, herramientas manuales y ferretería"
catalogos_clave_prod_stcc368,343,Fontanería fxtrs y calefacción
catalogos_clave_prod_stcc369,3433,"Equipo de calefacción, exc eléctrico"
catalogos_clave_prod_stcc370,344,Prd metal estructural fabricado
catalogos_clave_prod_stcc371,3441,Productos metálicos estructurales fabricados
catalogos_clave_prod_stcc372,34411,Hierro o acero estructural fabricado
catalogos_clave_prod_stcc373,345,"Pernos, tuercas, tornillos, remaches"
catalogos_clave_prod_stcc374,346,Estampado de metal
catalogos_clave_prod_stcc375,348,Productos diversos de alambre fabricado
catalogos_clave_prod_stcc376,349,Productos metálicos diversos
catalogos_clave_prod_stcc377,3491,Contenedores de transporte metálicos
catalogos_clave_prod_stcc378,3494,Válvulas y accesorios de tubería
catalogos_clave_prod_stcc379,35,"Maquinaria, excepto eléctrica"
catalogos_clave_prod_stcc380,351,Motores y turbinas
catalogos_clave_prod_stcc381,352,Maquinaria y equipo agrícola
catalogos_clave_prod_stcc382,3524,Tractores y equipos de jardín
catalogos_clave_prod_stcc383,353,"Construcción, minería y materiales hndlng"
catalogos_clave_prod_stcc384,3531,Maquinaria y equipo de construcción
catalogos_clave_prod_stcc385,3532,Maquinaria y equipo para minería
catalogos_clave_prod_stcc386,3533,Maquinaria y equipo para campos petroleros
catalogos_clave_prod_stcc387,3537,Camiones y tractores industriales
catalogos_clave_prod_stcc388,354,Maquinaria y equipo para metalurgia
catalogos_clave_prod_stcc389,355,Maquinaria industrial especial
catalogos_clave_prod_stcc390,356,Maquinaria industrial general
catalogos_clave_prod_stcc391,357,Equipo de oficina e informática
catalogos_clave_prod_stcc392,358,Máquinas de la industria de servicios
catalogos_clave_prod_stcc393,359,"Maquinaria no eléctrica, nec"
catalogos_clave_prod_stcc394,36,"Maquina eléctrica, equipo y alimentación"
catalogos_clave_prod_stcc395,361,Equipo de transmisión y distribución eléctrica
catalogos_clave_prod_stcc396,362,Aparatos industriales eléctricos
catalogos_clave_prod_stcc397,363,Electrodomésticos
catalogos_clave_prod_stcc398,3631,Equipo de cocina para el hogar
catalogos_clave_prod_stcc399,3632,Refrigeradores y congeladores domésticos
catalogos_clave_prod_stcc400,3633,Equipo de lavandería para el hogar
catalogos_clave_prod_stcc401,364,Equipo de iluminación y cableado eléctrico
catalogos_clave_prod_stcc402,365,Aparatos de radio y televisión
catalogos_clave_prod_stcc403,366,Equipo de comunicación
catalogos_clave_prod_stcc404,367,Componentes electrónicos
