id,clave,descripcion
catalogos_materiales_peligrosos153,M0153,CARTUCHOS PARA POZOS DE PETRÓLEO (Producto o material explosivo),
catalogos_materiales_peligrosos154,M0154,CARGAS PROPULSORAS DE ARTILLERÍA (Producto o material explosivo),
catalogos_materiales_peligrosos155,M0155,MOTORES DE COHETE (Producto o material explosivo),
catalogos_materiales_peligrosos156,M0156,MOTORES DE COHETE (Producto o material explosivo),
catalogos_materiales_peligrosos157,M0157,"NITROGUANIDINA (PICRITA) seca o humedecida con menos del 20 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos158,M0158,MULTIPLICADORES sin detonador (Producto o material explosivo),
catalogos_materiales_peligrosos159,M0159,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos160,M0160,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos161,M0161,"CABEZAS DE COMBATE PARA COHETES, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos162,M0162,"CABEZAS DE COMBATE PARA COHETES, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos163,M0163,CARGAS MOLDEADAS LINEALES FLEXIBLES (Producto o material explosivo),
catalogos_materiales_peligrosos164,M0164,MECHA DETONANTE flexible (Producto o material explosivo),
catalogos_materiales_peligrosos165,M0165,MECHA DETONANTE con envoltura metálica (Producto o material explosivo),
catalogos_materiales_peligrosos166,M0166,BOMBAS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos167,M0167,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos168,M0168,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos169,M0169,MINAS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos170,M0170,COHETES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos171,M0171,CARGAS EXPLOSIVAS PARA SONDEOS (Producto o material explosivo),
catalogos_materiales_peligrosos172,M0172,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos173,M0173,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),
catalogos_materiales_peligrosos174,M0174,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos175,M0175,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos176,M0176,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos177,M0177,PÓLVORA DE DESTELLOS (Producto o material explosivo),
catalogos_materiales_peligrosos178,M0178,TRAZADORES PARA MUNICIONES (Producto o material explosivo),
catalogos_materiales_peligrosos179,M0179,CARTUCHOS DE SEÑALES (Producto o material explosivo),
catalogos_materiales_peligrosos180,M0180,SEÑALES FUMÍGENAS (Producto o material explosivo),
catalogos_materiales_peligrosos181,M0181,INFLAMADORES (Producto o material explosivo),
catalogos_materiales_peligrosos182,M0182,INFLAMADORES (Producto o material explosivo),
catalogos_materiales_peligrosos183,M0183,ESPOLETAS DE IGNICIÓN (Producto o material explosivo),
catalogos_materiales_peligrosos184,M0184,ESPOLETAS DE IGNICIÓN (Producto o material explosivo),
catalogos_materiales_peligrosos185,M0185,"GRANADAS DE EJERCICIOS, de mano o de fusil (Producto o material explosivo)",
catalogos_materiales_peligrosos186,M0186,CEBOS TUBULARES (Producto o material explosivo),
catalogos_materiales_peligrosos187,M0187,CEBOS TUBULARES (Producto o material explosivo),
